CAMINHAO,CICLOMOTOR,AUTOMOVEL,vl_industria,vl_industria_milhoes,log_caminhao,log_ciclomotor,log_automovel,log_industria
480,2,1586,13439.221,0.013439221,6.175867270105761,1.0986122886681096,7.369600720526409,-4.309577906876479
27,3,373,3943.744,0.003943744,3.332204510175204,1.3862943611198906,5.924255797414532,-5.53562475307052
331,7,2683,45440.044,0.045440044,5.805134968916488,2.0794415416798357,7.895063498091573,-3.0913615362598508
128,7,713,8390.806,0.008390806,4.859812404361672,2.0794415416798357,6.570882962339584,-4.78061869637101
93,6,696,13142.103,0.013142102999999999,4.543294782270004,1.9459101490553132,6.546785410760524,-4.3319342330695125
737,36,7695,167725.301,0.167725301,6.6039438246004725,3.6109179126442243,8.948455992345542,-1.7854277509305327
737,36,7695,5345.273,0.005345273,6.6039438246004725,3.6109179126442243,8.948455992345542,-5.231542660037702
737,36,7695,123218.141,0.123218141,6.6039438246004725,3.6109179126442243,8.948455992345542,-2.0937989903460723
302,5,2052,22539.976,0.022539976,5.713732805509369,1.791759469228055,7.627057417018934,-3.792464835144809
125,38,667,24430.691,0.024430690999999997,4.836281906951478,3.6635616461296463,6.504288173536645,-3.711915109216878
6,0,14,2459.774,0.002459774,1.9459101490553132,0.0,2.70805020110221,-6.007685803176864
101,1,717,13659.005,0.013659004999999998,4.624972813284271,0.6931471805599453,6.576469569048224,-4.293356267902441
58,2,248,11432.432,0.011432432000000001,4.07753744390572,1.0986122886681096,5.517452896464707,-4.471301050405144
13,0,8,5964.034,0.005964034,2.639057329615259,0.0,2.1972245773362196,-5.122008181223997
168,8,1433,17444.407,0.017444407,5.1298987149230735,2.1972245773362196,7.2682230211595655,-4.048736197469167
173,7,937,13578.138,0.013578138,5.159055299214529,2.0794415416798357,6.843749949006225,-4.299294279654551
9,0,9,4314.233,0.004314233,2.302585092994046,0.0,2.302585092994046,-5.44583572227432
4537,589,73523,880534.415,0.8805344150000001,8.420241665339788,6.380122536899765,11.205367162513655,-0.12722626606296922
4537,589,73523,14185.092,0.014185092,8.420241665339788,6.380122536899765,11.205367162513655,-4.255563725017998
24,1,234,7342.372,0.007342372000000001,3.2188758248682006,0.6931471805599453,5.459585514144159,-4.914093327797962
5,1,17,2260.064,0.002260064,1.791759469228055,0.6931471805599453,2.8903717578961645,-6.0923621475148355
127,28,1695,36343.601,0.036343601,4.852030263919617,3.367295829986474,7.4360278163518485,-3.3147371290136496
345,21,2321,30582.332,0.030582331999999997,5.846438775057724,3.091042453358316,7.7501841622578365,-3.4873328223959845
162,7,667,23416.041,0.023416041000000002,5.093750200806762,2.0794415416798357,6.504288173536645,-3.7543339786545564
90,3,888,23433.241,0.023433241,4.51085950651685,1.3862943611198906,6.790097235513905,-3.753599709097436
125,17,1178,18125.529,0.018125528999999998,4.836281906951478,2.8903717578961645,7.072421900537371,-4.010433892460411
125,17,1178,3561.024,0.003561024,4.836281906951478,2.8903717578961645,7.072421900537371,-5.637707135029343
125,17,1178,6899.598,0.006899598,4.836281906951478,2.8903717578961645,7.072421900537371,-4.976292129945719
61,3,1190,14073.413,0.014073413,4.127134385045092,1.3862943611198906,7.0825485693553,-4.263467864421841
3254,1379,38930,466659.368,0.466659368,8.08794755464267,7.22983877815125,10.56954612740534,-0.7621556921692028
233,83,4063,92735.516,0.092735516,5.455321115357702,4.430816798843313,8.309922989258318,-2.3780037514141714
233,83,4063,17342.636,0.017342635999999998,5.455321115357702,4.430816798843313,8.309922989258318,-4.054587300728935
